name,description,source,requiredDataConnectors,query,supported
Anomalous AAD Account Creation,"'Adversaries may create a cloud account to maintain access to victim systems. With a sufficient level of access, such accounts may be used to establish secondary credentialed access that does not require persistent remote access tools to be deployed on the system. The query below generates an output of all the users performing user creation for the first time and the target users that were created.'
",BehaviorAnalytics,"{
    ""connectorId"":  ""BehaviorAnalytics"",
    ""dataTypes"":  [
                      ""BehaviorAnalytics"",
                      ""AuditLogs""
                  ]
}","
BehaviorAnalytics
| where ActionType == ""Add user""
| where ActivityInsights.FirstTimeUserPerformedAction == True or ActivityInsights.FirstTimeActionPerformedInTenant == True
| join(
AuditLogs
) on $left.SourceRecordId == $right._ItemId
| mv-expand TargetResources
| extend Target =  iff(tostring(TargetResources.userPrincipalName) contains ""#EXT#"",replace(""_"",""@"",tostring(split(TargetResources.userPrincipalName, ""#"")[0])),TargetResources.userPrincipalName),tostring(TargetResources.userPrincipalName)
| extend DisplayName = tostring(UsersInsights.AccountDisplayName),
UserPrincipalName = iff(UserPrincipalName contains ""#EXT#"",replace(""_"",""@"",tostring(split(UserPrincipalName, ""#"")[0])),UserPrincipalName),
UserName = iff(UserName contains ""#EXT#"",replace(""_"",""@"",tostring(split(UserPrincipalName, ""#"")[0])),UserName)
| sort by TimeGenerated desc	
| project TimeGenerated, UserName, UserPrincipalName, UsersInsights, ActivityType, ActionType, [""TargetUser""]=Target,ActivityInsights ,SourceIPAddress, SourceIPLocation, SourceDevice, DevicesInsights
",no
Anomalous Failed Logon,"'Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts. Emotet, for example, has been observed using a hard coded list of passwords to brute force user accounts. The query below generates an output of all users with 'High' BlastRadius that perform failed Sign-in:Invalid username or password.'
",BehaviorAnalytics,"{
    ""connectorId"":  ""BehaviorAnalytics"",
    ""dataTypes"":  [
                      ""BehaviorAnalytics"",
                      ""SigninLogs""
                  ]
}","
BehaviorAnalytics
| where ActivityType == ""LogOn""
| where UsersInsights.BlastRadius == ""High""
| join (
SigninLogs  | where Status.errorCode == 50126
) on $left.SourceRecordId == $right._ItemId
| extend UserPrincipalName = iff(UserPrincipalName contains ""#EXT#"",replace(""_"",""@"",tostring(split(UserPrincipalName, ""#"")[0])),UserPrincipalName),
UserName = iff(UserName contains ""#EXT#"",replace(""_"",""@"",tostring(split(UserPrincipalName, ""#"")[0])),UserName)
| project TimeGenerated, UserName, UserPrincipalName, UsersInsights, ActivityType, ActionType,[""Evidence""]=ActivityInsights, ResourceDisplayName,AppDisplayName ,SourceIPAddress, SourceIPLocation, SourceDevice, DevicesInsights
",no
Anomalous Geo Location Logon,"'Adversaries may steal the credentials of a specific user or service account using Credential Access techniques or capture credentials earlier in their reconnaissance process through social engineering for means of gaining Initial Access. APT33, for example, has used valid accounts for initial access. The query below generates an output of successful Sign-in performed by a user from a new geo location he has never connected from before, and none of his peers as well.'
",BehaviorAnalytics,"{
    ""connectorId"":  ""BehaviorAnalytics"",
    ""dataTypes"":  [
                      ""BehaviorAnalytics"",
                      ""SigninLogs""
                  ]
}","
BehaviorAnalytics
| where ActionType == ""Sign-in""
| where ActivityInsights.FirstTimeConnectionFromCountryObservedInTenant == True and ActivityInsights.CountryUncommonlyConnectedFromAmongPeers == True
    | join (
SigninLogs
) on $left.SourceRecordId == $right._ItemId
| extend UserPrincipalName = iff(UserPrincipalName contains ""#EXT#"",replace(""_"",""@"",tostring(split(UserPrincipalName, ""#"")[0])),UserPrincipalName),
UserName = iff(UserName contains ""#EXT#"",replace(""_"",""@"",tostring(split(UserPrincipalName, ""#"")[0])),UserName)
| project TimeGenerated, UserName, UserPrincipalName, UsersInsights, ActivityType, ActionType,[""Evidence""]=ActivityInsights, ResourceDisplayName,AppDisplayName ,SourceIPAddress, SourceIPLocation, SourceDevice, DevicesInsights
",no
Anomalous Login to Devices,"'Adversaries may steal the credentials of a specific user or service account using Credential Access techniques or capture credentials earlier in their reconnaissance process through social engineering for means of gaining Initial Access. APT33, for example, has used valid accounts for initial access and privilege escalation. The query below generates an output of all administator users performing an interactive logon (4624:2) to a device for the first time.'
",BehaviorAnalytics,"{
    ""connectorId"":  ""BehaviorAnalytics"",
    ""dataTypes"":  [
                      ""BehaviorAnalytics""
                  ]
}","
BehaviorAnalytics
| where UsersInsights.IsDormantAccount == true
| where DevicesInsights.IsLocalAdmin == true
| where ActivityType == ""LogOn""
| where ActionType == ""InteractiveLogon""
| where ActivityInsights.FirstTimeUserLoggedOnToDevice == true
| project TimeGenerated, UserName, UserPrincipalName, UsersInsights, ActivityType, ActionType,ActivityInsights ,SourceIPAddress, SourceIPLocation, SourceDevice, DevicesInsights
",no
Anomalous Password Reset,"'Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted, locked, or manipulated (ex: changed credentials) to remove access to accounts. LockerGoga, for example, has been observed changing account passwords and logging off current users. The query below generates an output of all users performing Reset user password for the first time.'
",BehaviorAnalytics,"{
    ""connectorId"":  ""BehaviorAnalytics"",
    ""dataTypes"":  [
                      ""BehaviorAnalytics"",
                      ""AuditLogs""
                  ]
}","
BehaviorAnalytics
| where ActionType == ""Reset user password""
| where ActivityInsights.FirstTimeUserPerformedAction == ""True""
| join (
AuditLogs
) on $left.SourceRecordId == $right._ItemId
| mv-expand TargetResources
| extend Target =  iff(tostring(TargetResources.userPrincipalName) contains ""#EXT#"",replace(""_"",""@"",tostring(split(TargetResources.userPrincipalName, ""#"")[0])),TargetResources.userPrincipalName),tostring(TargetResources.userPrincipalName)
| extend UserPrincipalName = iff(UserPrincipalName contains ""#EXT#"",replace(""_"",""@"",tostring(split(UserPrincipalName, ""#"")[0])),UserPrincipalName),
UserName = iff(UserName contains ""#EXT#"",replace(""_"",""@"",tostring(split(UserPrincipalName, ""#"")[0])),UserName)
| sort by TimeGenerated desc
| project TimeGenerated, UserName, UserPrincipalName, UsersInsights, ActivityType, ActionType, [""TargetUser""]=Target,ActivityInsights ,SourceIPAddress, SourceIPLocation, SourceDevice, DevicesInsights
",no
Anomalous RDP Activity,"'Adversaries may use Valid Accounts to log into a computer using the Remote Desktop Protocol (RDP). The adversary may then perform actions as the logged-on user. FIN10, for example, has used RDP to move laterally to systems in the victim environment.
",BehaviorAnalytics,"{
    ""connectorId"":  ""BehaviorAnalytics"",
    ""dataTypes"":  [
                      ""BehaviorAnalytics""
                  ]
}","
BehaviorAnalytics
| where ActivityType == ""LogOn""
| where ActionType == ""RemoteInteractiveLogon""
| where ActivityInsights.FirstTimeUserLoggedOnToDevice == true
| project TimeGenerated, UserName, UserPrincipalName, UsersInsights, ActivityType, ActionType,ActivityInsights ,SourceIPAddress, SourceIPLocation, SourceDevice, DevicesInsights
",no
Anomalous Resource Access,"'Adversary may be trying to move through the environment. APT29 and APT32, for example, has used PtH & PtT techniques to lateral move around the network. The query below generates an output of all users performing an resource access (4624:3) to devices for the first time.'
",BehaviorAnalytics,"{
    ""connectorId"":  ""BehaviorAnalytics"",
    ""dataTypes"":  [
                      ""BehaviorAnalytics""
                  ]
}","
BehaviorAnalytics
| where ActivityType == ""LogOn""
| where ActionType == ""ResourceAccess""
| where ActivityInsights.FirstTimeUserLoggedOnToDevice == true
| project TimeGenerated, UserName, UserPrincipalName, UsersInsights, ActivityType, ActionType,ActivityInsights ,SourceIPAddress, SourceIPLocation, SourceDevice, DevicesInsights
",no
Anomalous Role Assignment,"'Adversaries may manipulate accounts to maintain access to victim systems. These actions include adding new accounts to high privilleged groups. Dragonfly 2.0, for example, added newly created accounts to the administrators group to maintain elevated access.  The query below generates an output of all high Blast Radius users performing Add member to priveleged role, or ones that add users for the first time.'
",BehaviorAnalytics,"{
    ""connectorId"":  ""BehaviorAnalytics"",
    ""dataTypes"":  [
                      ""BehaviorAnalytics"",
                      ""AuditLogs""
                  ]
}","
let critical = dynamic(['9b895d92-2cd3-44c7-9d02-a6ac2d5ea5c3','c4e39bd9-1100-46d3-8c65-fb160da0071f','158c047a-c907-4556-b7ef-446551a6b5f7','62e90394-69f5-4237-9190-012177145e10','d29b2b05-8046-44ba-8758-1e26182fcf32','729827e3-9c14-49f7-bb1b-9608f156bbb8','966707d0-3269-4727-9be2-8c3a10f19b9d','194ae4cb-b126-40b2-bd5b-6091b380977d','fe930be7-5e62-47db-91af-98c3a49a38b1']);
let high = dynamic(['cf1c38e5-3621-4004-a7cb-879624dced7c','7495fdc4-34c4-4d15-a289-98788ce399fd','aaf43236-0c0d-4d5f-883a-6955382ac081','3edaf663-341e-4475-9f94-5c398ef6c070','7698a772-787b-4ac8-901f-60d6b08affd2','b1be1c3e-b65d-4f19-8427-f6fa0d97feb9','9f06204d-73c1-4d4c-880a-6edb90606fd8','29232cdf-9323-42fd-ade2-1d097af3e4de','be2f45a1-457d-42af-a067-6ec1fa63bc45','7be44c8a-adaf-4e2a-84d6-ab2649e08a13','e8611ab8-c189-46e8-94e1-60213ab1f814']);
AuditLogs
| where OperationName == ""Add member to role""
| mv-expand TargetResources
| extend RoleId = tostring(TargetResources.modifiedProperties[0].newValue)
| extend RoleName = tostring(TargetResources.modifiedProperties[1].newValue)
| where RoleId in (critical,high)
| extend TargetId = tostring(TargetResources.id)
| extend Target = tostring(TargetResources.userPrincipalName)
| where isnotempty(RoleId) or isnotempty(RoleName)
| join kind=inner ( BehaviorAnalytics
) on $left._ItemId == $right.SourceRecordId
| where UsersInsights.BlasrRadius == ""High"" or ActivityInsights.FirstTimeUserPerformedAction == true
| project TimeGenerated, UserName, UserPrincipalName, UsersInsights, ActivityType, ActionType, [""TargetUser""]=Target,RoleName,ActivityInsights ,SourceIPAddress, SourceIPLocation, SourceDevice, DevicesInsights
",no
Anomalous Sign-in Activity,"'Adversaries may steal the credentials of a specific user or service account using Credential Access techniques or capture credentials earlier in their reconnaissance process through social engineering for means of gaining Persistence. Umbreon, for example, creates valid users to provide access to the system.
The query below generates an output of successful Sign-in with one or more of the following indications:
- performed by new or recently dormant accounts
- performed by an account from a resource for the first time (while none of their peers did)
- performed by an account to aa app for the first time (while none of their peers did)
- performed by a user with Risk indicaiton from AAD'
",BehaviorAnalytics,"{
    ""connectorId"":  ""BehaviorAnalytics"",
    ""dataTypes"":  [
                      ""BehaviorAnalytics"",
                      ""SigninLogs""
                  ]
}","
BehaviorAnalytics
| where ActionType == ""Sign-in""
| where UsersInsights.IsNewAccount == True or UsersInsights.IsDormantAccount == True
or ActivityInsights.FirstTimeUserAccessedResource == True and ActivityInsights.ResourceUncommonlyAccessedAmongPeers == True
or ActivityInsights.FirstTimeUserUsedApp == True and ActivityInsights.AppUncommonlyUsedAmongPeers == True
| join (
SigninLogs | where Status.errorCode == 0 or Status.errorCode == 0 and RiskDetail != ""none""
) on $left.SourceRecordId == $right._ItemId
| extend UserPrincipalName = iff(UserPrincipalName contains ""#EXT#"",replace(""_"",""@"",tostring(split(UserPrincipalName, ""#"")[0])),UserPrincipalName),
UserName = iff(UserName contains ""#EXT#"",replace(""_"",""@"",tostring(split(UserPrincipalName, ""#"")[0])),UserName)
| project TimeGenerated, UserName, UserPrincipalName, UsersInsights, ActivityType, ActionType,[""Evidence""]=ActivityInsights, ResourceDisplayName,AppDisplayName,SourceIPAddress, SourceIPLocation, SourceDevice, DevicesInsights
",no
DNS lookups for commonly abused TLDs,"'Some top level domains (TLDs) are more commonly associated with malware for a range of 
reasons - including how easy domains on these TLDs are to obtain. Many of these may be undesirable 
from an enterprise policy perspective. You can update and extend the list of TLD's  you wish to search for.
The NameCount column provides an initial insight into how widespread the domain usage is across the environment.'
",DnsEvents,"{
    ""connectorId"":  ""DNS"",
    ""dataTypes"":  [
                      ""DnsEvents""
                  ]
}","
let timeframe = 7d;\
// Add additional TLDs to this list are reuqired.
let abusedTLD = dynamic([""click"", ""club"", ""download"",  ""xxx"", ""xyz""]);
DnsEvents
| where TimeGenerated >= ago(timeframe) 
| where Name has ""."" 
| extend tld = tostring(split(Name, ""."")[-1])
| where tld in~ (abusedTLD)
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), NameCount = count() by Name, ClientIP, tld
| order by NameCount desc
| extend timestamp = StartTimeUtc, IPCustomEntity = ClientIP
",no
DNS - domain anomalous lookup increase,"'Checking for a threefold increase or more of domain lookups per client IP address for the current day vs daily average for the previous week. 
This can potentially identify excessive traffic to a given location that could be indicative of data transfer out of your network to a group of systems based on the same second level domain.  
For example, if one client is sending requests for test1.badguy.com and another client is sending requests for test2.badguy.com, you may not see a high enough count to be interesting. 
However, a combination of the requests to badguy.com could have a high enough count to be interesting. 
This is only Name lookups, so it would be recommended to review the Firewall\Webproxy logs in relation to the client IP address making the interesting requests.'
",DnsEvents,"{
    ""connectorId"":  ""DNS"",
    ""dataTypes"":  [
                      ""DnsEvents""
                  ]
}","
let startTime = 8d;
let endTime = 1d;
//example of excluding Saturday and Sunday in Average as those are potentially low volume and decrease the average, feel free to change
let excludedDays = dynamic([""Saturday"", ""Sunday""]);
// average is across 5 days as we are dropping weekends, change as needed
let numDays = 5;
// limit to over 1000 lookups somewhat random but helps focus in on higher lookups, change as needed
let avglookupThreshold = 3;
let lookupThreshold = 1000;
DnsEvents
//Setting to startofday so we get 7 days prior to today
| where TimeGenerated >= startofday(ago(startTime)) and TimeGenerated <= startofday(ago(endTime))
| where SubType =~ ""LookupQuery""
//getting the associated number of the day of the week so we can map to a given day for later parsing if needed
| extend DayNumberofWeek = tostring(dayofweek(TimeGenerated))
//Setting the Day of the week value so that certain days could be excluded if needed
| extend DayofWeek = iff(DayNumberofWeek == ""00:00:00"", ""Sunday"", 
(iff(DayNumberofWeek == ""1.00:00:00"", ""Monday"", 
(iff(DayNumberofWeek == ""2.00:00:00"", ""Tuesday"", 
(iff(DayNumberofWeek == ""3.00:00:00"", ""Wednesday"", 
(iff(DayNumberofWeek == ""4.00:00:00"", ""Thursday"", 
(iff(DayNumberofWeek == ""5.00:00:00"", ""Friday"", 
(iff(DayNumberofWeek == ""6.00:00:00"", ""Saturday"", DayNumberofWeek)))))))))))))
| where DayofWeek !in~ (excludedDays) 
| extend Domain = iff(countof(Name,'.') >= 2, strcat(split(Name,'.')[-2], '.',split(Name,'.')[-1]), Name)
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), count() by ClientIP, Domain, IPAddresses
| project StartTimeUtc, EndTimeUtc, ClientIP, Domain, IPAddresses, DailyAvgLookupCountOverLastWeek = count_/numDays 
| join ( DnsEvents 
| where TimeGenerated >= startofday(ago(endTime)) 
| where SubType =~ ""LookupQuery""
| extend Domain = iff(countof(Name,'.') >= 2, strcat(split(Name,'.')[-2], '.',split(Name,'.')[-1]), Name)
| summarize count() by ClientIP, Domain, IPAddresses 
| project ClientIP, LookupCountToday = count_, Domain, IPAddresses 
)
on ClientIP, Domain, IPAddresses 
| where LookupCountToday > ( DailyAvgLookupCountOverLastWeek * avglookupThreshold) and LookupCountToday > lookupThreshold 
| project StartTimeUtc, EndTimeUtc, ClientIP, SecondLevelDomain = Domain , LookupCountToday , DailyAvgLookupCountOverLastWeek, IPAddresses 
| order by LookupCountToday desc nulls last 
| extend timestamp = StartTimeUtc, IPCustomEntity = ClientIP
",no
DNS Full Name anomalous lookup increase,"'Checking for a threefold increase or more of Full Name lookup per Client IP for the current day for today vs the daily average for the previous week.  
This can potentially identify excessive traffic to a given location that could be indicative of data transfer out of your network.  
This is only Name lookups, so it would be recommended to review the Firewall\Webproxy logs in relation to the ClientIP making the interesting requests.'
",DnsEvents,"{
    ""connectorId"":  ""DNS"",
    ""dataTypes"":  [
                      ""DnsEvents""
                  ]
}","
let startTime = 8d;
let endTime = 1d;
//example of excluding Saturday and Sunday in Average as those are potentially low volume and decrease the average, feel free to change
let excludedDays = dynamic([""Saturday"", ""Sunday""]);
// average is across 5 days as we are dropping weekends, change as needed
let numDays = 5;
// limit to over 1000 lookups somewhat random but helps focus in on higher lookups, change as needed
let avglookupThreshold = 3;
let lookupThreshold = 1000;
DnsEvents
//Setting to startofday so we get 7 days prior to today
| where TimeGenerated >= startofday(ago(startTime)) and TimeGenerated <= startofday(ago(endTime))
| where SubType =~ ""LookupQuery""
//getting the associated number of the day of the week so we can map to a given day for later parsing if needed
| extend DayNumberofWeek = tostring(dayofweek(TimeGenerated)) 
//Setting the Day of the week value so that certain days could be excluded if needed
| extend DayofWeek = iff(DayNumberofWeek == ""00:00:00"", ""Sunday"", 
(iff(DayNumberofWeek == ""1.00:00:00"", ""Monday"", 
(iff(DayNumberofWeek == ""2.00:00:00"", ""Tuesday"", 
(iff(DayNumberofWeek == ""3.00:00:00"", ""Wednesday"", 
(iff(DayNumberofWeek == ""4.00:00:00"", ""Thursday"", 
(iff(DayNumberofWeek == ""5.00:00:00"", ""Friday"", 
(iff(DayNumberofWeek == ""6.00:00:00"", ""Saturday"", DayNumberofWeek)))))))))))))
| where DayofWeek !in~ (excludedDays) 
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), count() by ClientIP, Name, IPAddresses
| project StartTimeUtc, EndTimeUtc, ClientIP, FullNameLookup = Name, IPAddresses, DailyAvgLookupCountOverLastWeek = count_/numDays
| join ( DnsEvents 
| where TimeGenerated >= startofday(ago(endTime))
| where SubType =~ ""LookupQuery""
| summarize count() by ClientIP, FullNameLookup = Name, IPAddresses
| project ClientIP, LookupCountToday = count_, FullNameLookup, IPAddresses
)
on ClientIP, FullNameLookup, IPAddresses
| where LookupCountToday > (DailyAvgLookupCountOverLastWeek * avglookupThreshold) and LookupCountToday >= lookupThreshold 
| project StartTimeUtc, EndTimeUtc, ClientIP, LookupCountToday, DailyAvgLookupCountOverLastWeek, FullNameLookup, IPAddresses
| order by LookupCountToday desc nulls last 
| extend timestamp = StartTimeUtc, IPCustomEntity = ClientIP
",no
Potential DGA detected,"'Clients with a high NXDomain count could be indicative of a DGA (cycling through possible C2 domains
where most C2s are not live). Based on quartile precent analysis aglorithm.'
",DnsEvents,"{
    ""connectorId"":  ""DNS"",
    ""dataTypes"":  [
                      ""DnsEvents""
                  ]
}","
let timeframe = 1d;
let excludeTLD = dynamic([""arris"",""ati"",""virtusa"",""unknowndomain"",""onion"",""corp"",""domain"",""local"",""localdomain"",""host"",""home"",""gateway"",""lan"",
""services"",""hub"",""domain.name"",""WirelessAP"",""Digicom-ADSL"",""OpenDNS"",""dlinkrouter"",""Dlink"",""ASUS"",""device"",""router"",""Belkin"",""DHCP"",""Cisco""]);
let nxDomainDnsEvents = DnsEvents
| where ResultCode == 3 
| where QueryType in (""A"", ""AAAA"")
| where ipv4_is_match(""127.0.0.1"", ClientIP) == False
| where Name !contains ""/""
| where Name contains "".""
| extend mytld = tostring(split(Name, '.')[-1])
| where mytld !in~ (excludeTLD)
| extend truncatedDomain = iff((strlen(Name) - indexof(Name, tostring(split(Name, ""."")[-2])) ) >= 7, 
strcat(tostring(split(Name, ""."")[-2]), ""."", tostring(split(Name, ""."")[-1])) , 
strcat(tostring(split(Name, ""."")[-3]), ""."", tostring(split(Name, ""."")[-2]), ""."", tostring(split(Name, ""."")[-1])));
let quartileFunctionForIPThreshold = view (mypercentile:long, startTimeSpan:timespan, endTimeSpan:timespan) {
(nxDomainDnsEvents
| where TimeGenerated between (ago(startTimeSpan)..ago(endTimeSpan))
| summarize domainCount = dcount(truncatedDomain) by ClientIP, bin(TimeGenerated, 1d)
| project SearchList = (domainCount), ClientIP
| summarize qPercentiles = percentiles(SearchList, mypercentile) by ClientIP);
};
let firstQT = quartileFunctionForIPThreshold(25, 7d, 2d) | project-rename percentile_SearchList_25 = qPercentiles;
let thirdQT = quartileFunctionForIPThreshold(75, 7d, 2d) | project-rename percentile_SearchList_75 = qPercentiles;
// The IP threshold could be adjusted for based on the skewness of the IPthreshold distribution per IP - https://wis.kuleuven.be/stat/robust/papers/2008/outlierdetectionskeweddata-revision.pdf
let threshold = (firstQT
| join thirdQT on ClientIP
| extend IPthreshold = percentile_SearchList_75 + (1.5*exp(3)*(percentile_SearchList_75 - percentile_SearchList_25))
| project ClientIP, IPthreshold);
let FilterOnIPThreshold_MainTable = (
nxDomainDnsEvents
| where TimeGenerated > ago(timeframe)
| summarize TotalNXLookups=dcount(truncatedDomain) by ClientIP
| sort by TotalNXLookups desc
| join ['threshold'] on ClientIP
// Comment the line below in order to view results filtered by Global Threshold only. 
| where TotalNXLookups > IPthreshold 
| join kind = leftouter (nxDomainDnsEvents
    | where TimeGenerated > ago(timeframe)
    | summarize domainCount = dcount(Name) by truncatedDomain, ClientIP
    | project SearchList = strcat(truncatedDomain,"" ("",tostring(domainCount),"")""), ClientIP
    ) on ClientIP
| summarize SLDs_DistinctLookups = make_list(SearchList) by ClientIP, TotalNXLookups, IPthreshold
| sort by TotalNXLookups desc);
//
let quartileFunctionForGlobalThreshold = view (mypercentile:long, startTimeSpan:timespan) {
(nxDomainDnsEvents
| where TimeGenerated > ago(startTimeSpan)
| summarize domainCount = dcount(truncatedDomain) by ClientIP
| summarize event_count = count() by domainCount
| summarize perc2 = percentilesw(domainCount, event_count, mypercentile));
};
let firstQ = toscalar(quartileFunctionForGlobalThreshold(25, 1d));
let thirdQ = toscalar(quartileFunctionForGlobalThreshold(75, 1d));
// The Global threshold could be adjusted for based on the skewness of the GlobalThreshold distribution per IP - https://wis.kuleuven.be/stat/robust/papers/2008/outlierdetectionskeweddata-revision.pdf
let GlobalThreshold = toscalar(thirdQ + (1.5*exp(3)*(thirdQ - firstQ)));
let FilterOnGlobalThreshold_MainTable = (
nxDomainDnsEvents
| where TimeGenerated > ago(timeframe)
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), TotalNXLookups = dcount(truncatedDomain) by ClientIP
| sort by TotalNXLookups desc
// Comment the line below in order to view results filtered by IPThreshold only. 
| where TotalNXLookups > GlobalThreshold 
| join kind = leftouter (nxDomainDnsEvents
    | where TimeGenerated > ago(timeframe)
    | summarize domainCount = dcount(Name) by truncatedDomain, ClientIP
    | project truncatedDomain = strcat(truncatedDomain,"" ("",tostring(domainCount),"")""), ClientIP
    ) on ClientIP
| summarize StartTimeUtc = min(StartTimeUtc), EndTimeUtc = max(EndTimeUtc), SLDs_DistinctLookups = make_list(truncatedDomain), UniqueSLDsCount=count(truncatedDomain) by ClientIP, TotalNXLookups, GlobalThreshold
| sort by TotalNXLookups desc);
FilterOnIPThreshold_MainTable
| join FilterOnGlobalThreshold_MainTable on ClientIP
| project StartTimeUtc, EndTimeUtc, ClientIP, TotalNXLookups, IPthreshold, GlobalThreshold, SLDs_DistinctLookups, UniqueSLDsCount
| extend timestamp = StartTimeUtc, IPCustomEntity = ClientIP
",no
High reverse DNS count by host,"'Clients with a high reverse DNS count could be carrying out reconnaissance or discovery activity.'
",DnsEvents,"{
    ""connectorId"":  ""DNS"",
    ""dataTypes"":  [
                      ""DnsEvents""
                  ]
}","
let timeframe = 1d;
let threshold = 10;
DnsEvents 
| where TimeGenerated >= ago(timeframe)
| where Name contains ""in-addr.arpa"" 
| summarize StartTimeUtc = min(TimeGenerated), EndTimeUtc = max(TimeGenerated), NameCount = dcount(Name), Names = make_set(Name), ClientIPCount = count() by ClientIP
| where NameCount > threshold
| extend timestamp = StartTimeUtc, IPCustomEntity = ClientIP
",no
Abnormally long DNS URI queries,"'Length of DNS query can often be an indicator of suspicious activity. Typical domain name lengths are short whereas domain name query used 
for data exfiltration or tunneling can often be very large in size. This is because they could be encoded using base 64/32 etc. The hunting query looks 
for Names that are more than 150 characters in length. Due to a lot of services using long DNS to communicate via prcodurally generated long domain names
this can be prone, so a number of known services are excluded from this query. Additional items might need to be added to this exclusion dependent on your
environment.'
",DnsEvents,"{
    ""connectorId"":  ""DNS"",
    ""dataTypes"":  [
                      ""DnsEvents""
                  ]
}","
let timeframe = 1d;
// Setting URI length threshold count, shorter URI's may cause noise, change as needed
let uriThreshold = 150;
let LocalDomains = 
(
DnsEvents | where TimeGenerated >= ago(1d)
| summarize count() by Computer 
| extend SubDomain = tolower(strcat(tostring(split(Computer, ""."")[-2]),""."", tostring(split(Computer, ""."")[-1])))
| distinct SubDomain
);
let DomainLookups =
(
DnsEvents | where TimeGenerated >= ago(1d)
| where SubType =~ ""LookupQuery""
| where ipv4_is_match(""127.0.0.1"", ClientIP) == False 
| where Name !endswith "".local"" and Name !startswith ""_"" and Name !startswith ""#""
| where Name !contains ""::1""
| where Name !has ""cnr.io"" and Name !has ""kr0.io"" and Name !has ""arcticwolf.net"" and Name !has ""webcfs00.com"" and Name !has ""barracudabrts.com""and Name !has ""trendmicro.com"" 
and Name !has ""sophosxl.net"" and Name !has ""spotify.com"" and Name !has ""e5.sk"" and Name !has ""mcafee.com"" and Name !has ""opendns.com""  and Name !has ""spameatingmonkey.net"" 
and Name !has ""_ldap"" and Name !has ""_kerberos"" and Name !has ""modsecurity.org"" and Name !has ""fdmarc.net"" and Name !has ""ipass.com"" and Name !has ""wpad""
and Name !has ""cnr.io"" and Name !has ""trendmicro.com"" and Name !has ""sophosxl.net"" and Name !has ""spotify.com"" and Name !has ""e5.sk"" and Name !has ""mcafee.com"" 
and Name !has ""opendns.com""  and Name !has ""spameatingmonkey.net"" and Name !has ""_ldap"" and Name !has ""_kerberos"" and Name !has ""modsecurity.org"" and Name !has ""fdmarc.net"" 
and Name !has ""ipass.com"" and Name !has ""wpad""
| extend Name = tolower(Name), Urilength = strlen(Name) 
| where Urilength >= uriThreshold
| extend SubDomain = case(
isempty(Name), Name,
array_length(split(Name, ""."")) <= 2, Name,
tostring(split(Name, ""."")[-2]) == ""corp"", strcat(tostring(split(Name, ""."")[-3]),""."",tostring(split(Name, ""."")[-2]),""."", tostring(split(Name, ""."")[-1])),
strlen(tostring(split(Name, ""."")[-1])) == 2, strcat(tostring(split(Name, ""."")[-3]),""."",tostring(split(Name, ""."")[-2]),""."", tostring(split(Name, ""."")[-1])),
strlen(tostring(split(Name, ""."")[-2])) != ""corp"", strcat(tostring(split(Name, ""."")[-2]),""."", tostring(split(Name, ""."")[-1])),
Name))
;
DomainLookups
| join kind= leftanti (
    LocalDomains
) on SubDomain 
| summarize by TimeGenerated, Computer, ClientIP , Name, Urilength
| extend timestamp = TimeGenerated, IPCustomEntity = ClientIP, HostCustomEntity = Computer
",no
